ID,PERMIT#,  PERMIT_TYPE,         ISSUE_DATE,        ESTIMATED_COST,         AMOUNT_WAIVED,   AMOUNT_PAID,    TOTAL_FEE,STREET_NUMBER,STREET DIRECTION,STREET_NAME,  SUFFIX,WORK_DESCRIPTION,   PIN1,   PIN2,  PIN3,  PIN4, PIN5, PIN6, PIN7, PIN8, PIN9,     PIN10,CONTRACTOR_1_TYPE,CONTRACTOR_1_NAME,CONTRACTOR_1_ADDRESS,CONTRACTOR_1_CITY,CONTRACTOR_1_STATE,CONTRACTOR_1_ZIPCODE,CONTRACTOR_1_PHONE,CONTRACTOR_2_TYPE,CONTRACTOR_2_NAME,CONTRACTOR_2_ADDRESS,CONTRACTOR_2_CITY,CONTRACTOR_2_STATE,CONTRACTOR_2_ZIPCODE,CONTRACTOR_2_PHONE,CONTRACTOR_3_TYPE,CONTRACTOR_3_NAME,CONTRACTOR_3_ADDRESS,CONTRACTOR_3_CITY,CONTRACTOR_3_STATE,CONTRACTOR_3_ZIPCODE,CONTRACTOR_3_PHONE,CONTRACTOR_4_TYPE,CONTRACTOR_4_NAME,CONTRACTOR_4_ADDRESS,CONTRACTOR_4_CITY,CONTRACTOR_4_STATE,CONTRACTOR_4_ZIPCODE,CONTRACTOR_4_PHONE,CONTRACTOR_5_TYPE,CONTRACTOR_5_NAME,CONTRACTOR_5_ADDRESS,CONTRACTOR_5_CITY,CONTRACTOR_5_STATE,CONTRACTOR_5_ZIPCODE,CONTRACTOR_5_PHONE,CONTRACTOR_6_TYPE,CONTRACTOR_6_NAME,CONTRACTOR_6_ADDRESS,CONTRACTOR_6_CITY,CONTRACTOR_6_STATE,CONTRACTOR_6_ZIPCODE,CONTRACTOR_6_PHONE,CONTRACTOR_7_TYPE,CONTRACTOR_7_NAME,CONTRACTOR_7_ADDRESS,CONTRACTOR_7_CITY,CONTRACTOR_7_STATE,CONTRACTOR_7_ZIPCODE,CONTRACTOR_7_PHONE,CONTRACTOR_8_TYPE,CONTRACTOR_8_NAME,CONTRACTOR_8_ADDRESS,CONTRACTOR_8_CITY,CONTRACTOR_8_STATE,CONTRACTOR_8_ZIPCODE,CONTRACTOR_8_PHONE,CONTRACTOR_9_TYPE,CONTRACTOR_9_NAME,CONTRACTOR_9_ADDRESS,CONTRACTOR_9_CITY,CONTRACTOR_9_STATE,CONTRACTOR_9_ZIPCODE,CONTRACTOR_9_PHONE,CONTRACTOR_10_TYPE,CONTRACTOR_10_NAME,CONTRACTOR_10_ADDRESS,CONTRACTOR_10_CITY,CONTRACTOR_10_STATE,CONTRACTOR_10_ZIPCODE,CONTRACTOR_10_PHONE,CONTRACTOR_11_TYPE,CONTRACTOR_11_NAME,CONTRACTOR_11_ADDRESS,CONTRACTOR_11_CITY,CONTRACTOR_11_STATE,CONTRACTOR_11_ZIPCODE,CONTRACTOR_11_PHONE,CONTRACTOR_12_TYPE,CONTRACTOR_12_NAME,CONTRACTOR_12_ADDRESS,CONTRACTOR_12_CITY,CONTRACTOR_12_STATE,CONTRACTOR_12_ZIPCODE,CONTRACTOR_12_PHONE,CONTRACTOR_13_TYPE,CONTRACTOR_13_NAME,CONTRACTOR_13_ADDRESS,CONTRACTOR_13_CITY,CONTRACTOR_13_STATE,CONTRACTOR_13_ZIPCODE,CONTRACTOR_13_PHONE,CONTRACTOR_14_TYPE,CONTRACTOR_14_NAME,CONTRACTOR_14_ADDRESS,CONTRACTOR_14_CITY,CONTRACTOR_14_STATE,CONTRACTOR_14_ZIPCODE,CONTRACTOR_14_PHONE,CONTRACTOR_15_TYPE,CONTRACTOR_15_NAME,CONTRACTOR_15_ADDRESS,CONTRACTOR_15_CITY,CONTRACTOR_15_STATE,CONTRACTOR_15_ZIPCODE,CONTRACTOR_15_PHONE,LATITUDE,LONGITUDE,LOCATION
2740196,100640842,PERMIT - NEW CONSTRUCTION,05/24/2016,$60000.00,$0.00,$525.00,$525.00,8,E,HURON,ST,"PHASE 1 FOUNDATION AND INSTALLATION PERMIT FOR TEMPORARY TOWER CRANE: LIEBHERR 316 EC-H 12 LITRONIC, AS PER PLANS.",17-10-103-010-0000,,,,,,,,,,OWNER OCCUPIED,"JEFF LANGE CA VENTURES, LLC",161 NORTH CLARK STREET SUITE 4900,CHICAGO,IL,60601,,STRUCTURAL ENGINEER,KOHOUT CHRISTOPHER,,,,,,CONTRACTOR-GENERAL CONTRACTOR,CLARK CONSTRUCTION GROUP CHICA,216 SOUTH JEFFERSON SUITE 502,CHICAGO,IL,60661,(312)474-5500,MASONRY CONTRACTOR,CONCRETE STRUCTURES OF THE,143 BRYANT AVENUE,GLEN ELLYN,IL,60137,(630)293-5775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.894990607,-87.627829198,"(41.89499060703644, -87.62782919767419)"
2731975,100636102,PERMIT - NEW CONSTRUCTION,06/07/2016,$60000.00,$0.00,$525.00,$525.00,801,S,FINANCIAL,PL,"PHASE 1 FOUNDATION DESIGN FOR THE INSTALLATION AND OPERATION OF A LIEBHERR 420 EC-H 16 TEMPORARY TOWER CRANE, AS PER PLANS. ** Tower Crane to be used for foundation erection only**",,,,,,,,,,,OWNER OCCUPIED,PAT SISE,605 NORTH MICHIGAN AVENUE 4TH FLOOR,CHICAGO,IL,60611,,STRUCTURAL ENGINEER,KOHOUT CHRISTOPHER,,,,,,CONTRACTOR-GENERAL CONTRACTOR,"WALSH CONSTRUCTION COMPANY II,",929 W. ADAMS STREET,CHICAGO,IL,60607,(312)563-5400,MASONRY CONTRACTOR,WALSH CONSTRUCTION COMPANY,929 W. ADAMS ST.,CHICAGO,IL,60607,(312)563-5401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.872102297,-87.632797134,"(41.87210229663722, -87.6327971339645)"
2739490,100640409,PERMIT - NEW CONSTRUCTION,06/03/2016,$60000.00,$0.00,$525.00,$525.00,2950,N,SHERIDAN,RD,"PHASE 2, TIE-IN AND CLIMB SCHEDULE OF A TEMPORARY TOWER CRANE: TEREX PEINER SK-315 AS PER PLANS.",,,,,,,,,,,OWNER OCCUPIED,ALAN ALANI WIRTZ REALTY CORP.,680 N. LAKE SHORE DRIVE STE 1900,CHICAGO,IL,60611,,STRUCTURAL ENGINEER,KOHOUT CHRISTOPHER,,,,,,CONTRACTOR-GENERAL CONTRACTOR,"POWER CONSTRUCTION COMPANY, LL",8750 W. BRYN MAWR AVENUE SUITE 500,CHICAGO,IL,60631-3546,(847)925-1300,MASONRY CONTRACTOR,CECO CONCRETE CONSTRUCTION LLC,1315 E. GARTHER,NAPERVILLE,IL,60540,(630)852-0505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.935808572,-87.639552639,"(41.93580857210609, -87.63955263861406)"
2760383,100653082,PERMIT - NEW CONSTRUCTION,06/15/2016,$20000.00,$0.00,$525.00,$525.00,1201,N,LA SALLE,DR,"TIED-IN POTAIN MD485D TOWER CRANE -PHASES 2, 3 & 4 - SOUTH CRANE",17-04-222-060-0000,,,,,,,,,,OWNER,JIM CLEMENTI,600 W. JACKSON,CHICAGO,IL,60661,,STRUCTURAL ENGINEER,CONNOLLY EAMONN F.,,,,,,CONTRACTOR-GENERAL CONTRACTOR,JAMES MCHUGH CONSTRUCTION CO,1737 S MICHIGAN AVE,CHICAGO,IL,60616-,(312)986-8000 x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.903974928,-87.632776944,"(41.903974927752564, -87.63277694367845)"
2757310,100651209,PERMIT - NEW CONSTRUCTION,06/21/2016,$20000.00,$0.00,$525.00,$525.00,311,W,ILLINOIS,ST,INSTALL FREE STANDING LIEBHERR 316 EC-H 12 LITRONIC TOWER CRANE,,,,,,,,,,,OWNER,RANDY GRUEB,225 W WASHINGTON AVE SUITE 2300,CHICAGO,IL,60606,,STRUCTURAL ENGINEER,CONNOLLY EAMONN F.,,,,,,CONTRACTOR-GENERAL CONTRACTOR,JAMES MCHUGH CONSTRUCTION CO,1737 S MICHIGAN AVE,CHICAGO,IL,60616-,(312)986-8000 x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.890648401,-87.63606049,"(41.89064840088341, -87.63606049033126)"
2755389,100650025,PERMIT - NEW CONSTRUCTION,06/28/2016,$60000.00,$0.00,$525.00,$525.00,165,N,DESPLAINES,ST,"FOUNDATION DESIGN FOR THE INSTALLATION AND OPERATION OF A PEINER SK415 TEMPORARY TOWER CRANE, AS PER PLANS.",,,,,,,,,,,OWNER OCCUPIED,PATRICK WILDE,1477 NW EVERETT ST.,PORTLAND,OR,97209,,STRUCTURAL ENGINEER,KOHOUT CHRISTOPHER,,,,,,CONTRACTOR-GENERAL CONTRACTOR,"POWER CONSTRUCTION COMPANY, LL",8750 W. BRYN MAWR AVENUE SUITE 500,CHICAGO,IL,60631-3546,(847)925-1300,MASONRY CONTRACTOR,ADJUSTABLE FORMS INC.,1 E. PROGRESS RD.,LOMBARD,IL,60148,(630)953-8700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.885014649,-87.644076795,"(41.885014648542004, -87.6440767951591)"
2756509,100650714,PERMIT - NEW CONSTRUCTION,06/28/2016,$60000.00,$0.00,$525.00,$525.00,625,W,ADAMS,ST,"PHASE 1 FOUNDATION DESIGN FOR THE INSTALLATION AND OPERATION OF A LIEBHERR 542 HC-L18/36 LITRONIC TEMPORARY TOWER CRANE, AS PER PLANS.",,,,,,,,,,,OWNER OCCUPIED,MARTIN WALZ,200 W. JACKSON BLVD,CHICAGO,IL,60606,,STRUCTURAL ENGINEER,KOHOUT CHRISTOPHER,,,,,,CONTRACTOR-GENERAL CONTRACTOR,"POWER CONSTRUCTION COMPANY, LL",8750 W. BRYN MAWR AVENUE SUITE 500,CHICAGO,IL,60631-3546,(847)925-1300,MASONRY CONTRACTOR,POWER CONSTRUCTION COMPANY,2360 PALMER DRIVE,SCHAUMBURG,IL,60173,(312)524-4403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.879152597,-87.643702742,"(41.879152597060816, -87.6437027422331)"
2755284,100649957,PERMIT - NEW CONSTRUCTION,07/05/2016,$60000.00,$0.00,$525.00,$525.00,1140,N,WELLS,ST,"PHASE 1 FOUNDATION DESIGN FOR THE INSTALLATION AND OPERATION OF A POTAIN MD485 TEMPORARY TOWER CRANE, AS PER PLANS.",,,,,,,,,,,OWNER OCCUPIED,BRETT CARUCCI,200 N. LASALLE SUITE 300,CHICAGO,IL,60601,,STRUCTURAL ENGINEER,KOHOUT CHRISTOPHER,,,,,,CONTRACTOR-GENERAL CONTRACTOR,ONNI CONTRACTING (CHICAGO) INC,200 N LASALLE SUITE 300,CHICAGO,IL,60601-,(312)346-1400 x,MASONRY CONTRACTOR,CONCRETE STRUCTURES OF THE,143 BRYANT AVENUE,GLEN ELLYN,IL,60137,(630)293-5775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.903311131,-87.634605802,"(41.903311130583, -87.63460580229923)"
2760363,100653074,PERMIT - NEW CONSTRUCTION,06/30/2016,$20000.00,$0.00,$525.00,$525.00,1118,N,STATE,ST,TIED-IN LIEBHERR 316-H 12 LITRONIC TOWER CRANE PHASE 2-- DIXIT RE-REVIEW REQUIRED,,,,,,,,,,,OWNER,EVAN MEISTER,540 W MADISON 25TH FLOOR,CHICAGO,IL,60661,,STRUCTURAL ENGINEER,CONNOLLY EAMONN F.,,,,,,CONTRACTOR-GENERAL CONTRACTOR,JAMES MCHUGH CONSTRUCTION CO,1737 S MICHIGAN AVE,CHICAGO,IL,60616-,(312)986-8000 x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.902311916,-87.628497381,"(41.902311915686454, -87.62849738136275)"
1654255,100097115,PERMIT - ELECTRIC WIRING,,$1880.00,$0.00,$40.00,$40.00,2128,W,FULTON,ST,Power to rail crane,17-07-306-011-0000,17-07-306-012-0000,,,,,,,,,CONTRACTOR-ELECTRICAL,"HIRAM ELECTRICAL CONTRACTORS,",1351 W. FOSTER AVE.,CHICAGO,IL,60640-,(773)878-0703 X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.886827224,-87.680423063,"(41.88682722378314, -87.6804230632505)"
