description,players,cost_est,issue_date,issue_year,issue_month,issue_day,address,lat,lng,boundaries,permit_number,_permit_year
"PHASE 1 FOUNDATION DESIGN FOR THE INSTALLATION AND OPERATION OF LIEBHERR 316 EC-H 12 TEMPORARY TOWER CRANE, AS PER PLANS.","Jeff RichmanKohout ChristopherCentaur Construction Company,Walsh Construction Company","$60,000.00",10/19/2016,2016,10,19,854 W Randolph St,41.8844790,-87.6496280,"27 (ward)NEAR WEST SIDE (communityarea)West Town (neighborhood)60607 (zip)Near West (tif)Fulton-Randolph Market District (landmarkdistrict)Enterprise Zone 4 (enterprisezone)West (township)District 12, Beat 1224 (chipolicebeat)District 12 - Near West (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Neighbors of West Loop (neighborhoodorganization)Arthur Turner (9th) (illinoishouse)Patricia Van Pelt (5th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100667308,2016
"PHASE 2 TIE IN AND CLIMB SCHEDULE FOR A LIEBHERR 316 EC-H 12 LITRONIC TOWER CRANE, AS PER PLANS.","Jeff Lange Ca Ventures, LlcKohout ChristopherClark Construction Group ChicaConcrete Structures Of The","$60,000.00",10/19/2016,2016,10,19,8 E Huron St,41.8949900,-87.6278290,"42 (ward)NEAR NORTH SIDE (communityarea)Near North (neighborhood)60611 (zip)North (township)District 18, Beat 1834 (chipolicebeat)District 18 - Near North (chipolicedistrict)12 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Wells Hs (HS) (cpsattendance)",100673418,2016
"THIS PERMIT SUPERSEDES THE TOWER CRANE FOUNDATION PERMIT #100635854. FOUNDATION PERMIT FOR THE INSTALLATION AND OPERATION OF A PEINER SK415 TEMPORARY TOWER CRANE, AS PER PLANS.",Todd MullenKohout ChristopherNovak Construction CompanyR. Olson Const. Co.,"$60,000.00",9/20/2016,2016,9,20,171 N Aberdeen St,41.8851440,-87.6543150,"27 (ward)NEAR WEST SIDE (communityarea)West Town (neighborhood)60607 (zip)Kinzie Industrial Corridor (tif)Enterprise Zone 4 (enterprisezone)West (township)District 12, Beat 1224 (chipolicebeat)District 12 - Near West (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Neighbors of West Loop (neighborhoodorganization)Arthur Turner (9th) (illinoishouse)Patricia Van Pelt (5th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100668257,2016
PHASE 2: TEMPORARY CONSTRUCTION OF WORLD FREE STANDING TOWER CRANE MODEL POTAIN MR608,"Buck Development Franklin, LlcDrucker Carol JBurnham Nationwide, Inc.Lend Lease (Us) Construction,","$35,000.00",9/19/2016,2016,9,19,151 N Franklin St,41.8844990,-87.6352330,"42 (ward)LOOP (communityarea)The Loop (neighborhood)60606 (zip)Randolph/Wells (tif)South (township)District 01, Beat 0122 (chipolicebeat)District 1 - Central (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Sonya M. Harper (6th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Phillips Hs (HS) (cpsattendance)",100667302,2016
"PHASE 1: FOUNDATION SUPPORT, SET-UP AND OPERATION FOR A MANITOWOC MD485 TEMPORARY TOWER CRANE, AS PER PLANS.","465 N. Park, Llc Carmine MattozziKohout ChristopherPower Construction Company, LlConcrete Structures Of The","$60,000.00",9/6/2016,2016,9,6,465 N Park Dr,41.8905200,-87.6194680,"42 (ward)NEAR NORTH SIDE (communityarea)Streeterville (neighborhood)60611 (zip)North (township)District 18, Beat 1834 (chipolicebeat)District 18 - Near North (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Streeterville Organization of Active Residents (SOAR) (neighborhoodorganization)Christian L. Mitchell (26th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100659163,2016
"**REVISION TO TOWER CRANE PERMIT 100628266 TO REVISE THE JIB CONFIGURATION FROM 164' BOOM TO 197' BOOM. PHASE I, SOUTH TOWER CRANE FREE STANDING, MODEL POTAIN MR605B","Northwestern University Facilities ManagementVolpe BrianBurnham Nationwide, Inc.Power Construction Company, Ll","$50,000.00",8/24/2016,2016,8,24,303 E Superior St,41.8956920,-87.6201420,"42 (ward)NEAR NORTH SIDE (communityarea)Gold Coast (neighborhood)60611 (zip)North (township)District 18, Beat 1834 (chipolicebeat)District 18 - Near North (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Streeterville Organization of Active Residents (SOAR) (neighborhoodorganization)Christian L. Mitchell (26th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100663179,2016
"FOUNDATION DESIGN FOR THE INSTALLATION AND OPERATION OF PEINER SK415 TEMPORARY TOWER CRANE, AS PER PLANS.","Kohout ChristopherPower Construction Company, LlR. Olson Const. Co.Damon Dance","$60,000.00",8/23/2016,2016,8,23,1001 W Chicago Ave,41.8961980,-87.6526790,"27 (ward)WEST TOWN (communityarea)River West (neighborhood)60642 (zip)River West (tif)Enterprise Zone 4 (enterprisezone)West (township)292014 (ssa)District 12, Beat 1214 (chipolicebeat)District 12 - Near West (chipolicedistrict)12 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Pamela Reaves-Harris (10th) (illinoishouse)Patricia Van Pelt (5th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100650016,2016
"EAST SIDE PHASE 1 FOUNDATION DESIGN FOR THE INSTALLATION AND OPERATION OF A LIEBHERR 316 EC-H12 LITRONIC TEMPORARY TOWER CRANE, AS PER PLANS.","Larry KochKohout ChristopherLend Lease (Us) Construction,Goebel Forming, Inc.","$60,000.00",8/23/2016,2016,8,23,451 E Grand Ave,41.8917660,-87.6157510,"42 (ward)NEAR NORTH SIDE (communityarea)Streeterville (neighborhood)60611 (zip)North (township)District 18, Beat 1834 (chipolicebeat)District 18 - Near North (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Streeterville Organization of Active Residents (SOAR) (neighborhoodorganization)Christian L. Mitchell (26th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100650725,2016
"PHASE 2, TIE-IN AND CLIMB SCHEDULE OF A TEMPORARY TOWER CRANE: MANITOWOC MR418, AS PER PLANS","Scott TimcoeKohout ChristopherLend Lease (Us) Construction,Pepper Construction Co.","$60,000.00",8/23/2016,2016,8,23,640 N Wells St,41.8936580,-87.6342700,"42 (ward)NEAR NORTH SIDE (communityarea)River North (neighborhood)60654 (zip)North (township)District 18, Beat 1831 (chipolicebeat)District 18 - Near North (chipolicedistrict)12 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Wells Hs (HS) (cpsattendance)",100650705,2016
"PHASE 2, TIE-IN AND CLIMB SCHEDULE OF A TEMPORARY TOWER CRANE: MANITOWOC MR605 LUFFING JIB CRANE, AS PER PLANS.",Todd WendellKohout ChristopherLinn-Mathes IncAdjustable Forms Inc.,"$60,000.00",8/23/2016,2016,8,23,167 W Erie St,41.8938830,-87.6338790,"42 (ward)NEAR NORTH SIDE (communityarea)River North (neighborhood)60654 (zip)North (township)District 18, Beat 1832 (chipolicebeat)District 18 - Near North (chipolicedistrict)12 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Wells Hs (HS) (cpsattendance)",100649962,2016
"PHASE 1 FOUNDATION DESIGN FOR THE INSTALLATION AND OPERATION OF A LIEBHERR 316 EC-H 12 LITRONIC TEMPORARY TOWER CRANE, AS PER PLANS.","Jeff LangeKohout ChristopherLend Lease (Us) Construction,Pepper Construction Co.","$60,000.00",8/3/16,2016,8,3,1136 S Wabash Ave,41.8681480,-87.6259830,"4 (ward)LOOP (communityarea)South Loop (neighborhood)60605 (zip)Near South (tif)South (township)District 01, Beat 0123 (chipolicebeat)District 1 - Central (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Phillips Hs (HS) (cpsattendance)",100649947,2016
Phase 1 Temporary construction of World Free Standing Tower Crane Model Potain MR608,"Buck Development Franklin LlcDrucker Carol JBurnham Nationwide, Inc.Lend Lease (Us) Construction,","$30,000.00",7/22/16,2016,7,22,151 N Franklin St,41.8844990,-87.6352330,"42 (ward)LOOP (communityarea)The Loop (neighborhood)60606 (zip)Randolph/Wells (tif)South (township)District 01, Beat 0122 (chipolicebeat)District 1 - Central (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Sonya M. Harper (6th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Phillips Hs (HS) (cpsattendance)",100644660,2016
"PHASE 2 TIE-IN AND CLIMB SCHEDULE FOR THE MANITOWOC MD485 TEMPORARY TOWER CRANE, AS PER PLANS.",Carl BrownKohout ChristopherClark Construction Group ChicaAdjustable Forms Inc.,"$60,000.00",7/20/16,2016,7,20,215 W Lake St,41.8856210,-87.6345010,"42 (ward)LOOP (communityarea)The Loop (neighborhood)60606 (zip)Randolph/Wells (tif)South (township)District 01, Beat 0122 (chipolicebeat)District 1 - Central (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Sonya M. Harper (6th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Phillips Hs (HS) (cpsattendance)",100655109,2016
"FOUNDATION DESIGN FOR THE INSTALLATION AND OPERATION OF A POTAIN MD485 TEMPORARY TOWER CRANE, AS PER PLANS.","Eric NordnessKohout ChristopherWalsh Construction Company Ii,Walsh Construction Company","$60,000.00",7/20/16,2016,7,20,3630 N Clark St,41.9479650,-87.6572980,"44 (ward)LAKE VIEW (communityarea)Wrigleyville (neighborhood)60613 (zip)Lake View (township)17 (ssa)District 19, Beat 1923 (chipolicebeat)District 19 - Town Hall (chipolicedistrict)10 (cookcountydistrict)Sara Feigenholtz (12th) (illinoishouse)John J. Cullerton (6th) (illinoissenate)Lake View Hs (HS) (cpsattendance)",100650043,2016
INSTALL FREE STANDING LIEBHERR 316 EC-H 12 LITRONIC TOWER CRANE,Daniel SlackConnolly Eamonn F.James Mchugh Construction Co,"$20,000.00",7/20/2016,2016,7,20,930 W Altgeld St,41.9273220,-87.6525050,"43 (ward)LINCOLN PARK (communityarea)Wrightwood Neighbors (neighborhood)60614 (zip)Lake View (township)35 (ssa)District 19, Beat 1932 (chipolicebeat)District 19 - Town Hall (chipolicedistrict)12 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Wrightwood Neighbors Association (neighborhoodorganization)Ann Williams (11th) (illinoishouse)John J. Cullerton (6th) (illinoissenate)Lincoln Park Hs (HS) (cpsattendance)",100658356,2016
"PHASE 1 FOUNDATION DESIGN FOR THE INSTALLATION AND OPERATION OF A POTAIN MD485 TEMPORARY TOWER CRANE, AS PER PLANS.",Brett CarucciKohout ChristopherOnni Contracting (Chicago) IncConcrete Structures Of The,"$60,000.00",7/5/2016,2016,7,5,1140 N Wells St,41.9033110,-87.6346050,"27 (ward)NEAR NORTH SIDE (communityarea)Near North (neighborhood)60610 (zip)North (township)District 18, Beat 1823 (chipolicebeat)District 18 - Near North (chipolicedistrict)12 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Near North Unity Project (neighborhoodorganization)Arthur Turner (9th) (illinoishouse)Patricia Van Pelt (5th) (illinoissenate)Lincoln Park Hs (HS) (cpsattendance)",100649957,2016
INSTALL FREE STANDING POTAIN MD485B TOWER CRANE,Kage BrownConnolly Eamonn F.James Mchugh Construction Co,"$20,000.00",7/5/2016,2016,7,5,412 N Wells St,41.8896470,-87.6341690,"42 (ward)NEAR NORTH SIDE (communityarea)River North (neighborhood)60654 (zip)North (township)District 18, Beat 1831 (chipolicebeat)District 18 - Near North (chipolicedistrict)12 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Wells Hs (HS) (cpsattendance)",100652353,2016
TIED-IN LIEBHERR 316-H 12 LITRONIC TOWER CRANE PHASE 2-- DIXIT RE-REVIEW REQUIRED,Evan MeisterConnolly Eamonn F.James Mchugh Construction Co,"$20,000.00",6/30/2016,2016,6,30,1118 N State St,41.9023110,-87.6284970,"2 (ward)NEAR NORTH SIDE (communityarea)Near North (neighborhood)60610 (zip)Gold Coast Historic District (nationalregister)North (township)District 18, Beat 1824 (chipolicebeat)District 18 - Near North (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Christian L. Mitchell (26th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Ogden (ES) (cpsattendance)",100653074,2016
"PHASE 1 FOUNDATION DESIGN FOR THE INSTALLATION AND OPERATION OF A LIEBHERR 542 HC-L18/36 LITRONIC TEMPORARY TOWER CRANE, AS PER PLANS.","Martin WalzKohout ChristopherPower Construction Company, LlPower Construction Company","$60,000.00",6/28/2016,2016,6,28,625 W Adams St,41.8791520,-87.6437020,"42 (ward)NEAR WEST SIDE (communityarea)West Loop Gate (neighborhood)60661 (zip)Canal St/Congress Expy (tif)West (township)District 01, Beat 0121 (chipolicebeat)District 1 - Central (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Neighbors of West Loop (neighborhoodorganization)Arthur Turner (9th) (illinoishouse)Patricia Van Pelt (5th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100650714,2016
"FOUNDATION DESIGN FOR THE INSTALLATION AND OPERATION OF A PEINER SK415 TEMPORARY TOWER CRANE, AS PER PLANS.","Patrick WildeKohout ChristopherPower Construction Company, LlAdjustable Forms Inc.","$60,000.00",6/28/2016,2016,6,28,165 N Desplaines St,41.8850140,-87.6440760,"42 (ward)NEAR WEST SIDE (communityarea)West Loop Gate (neighborhood)60661 (zip)West (township)District 01, Beat 0121 (chipolicebeat)District 1 - Central (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Neighbors of West Loop (neighborhoodorganization)Sonya M. Harper (6th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Wells Hs (HS) (cpsattendance)",100650025,2016
INSTALL FREE STANDING LIEBHERR 316 EC-H 12 LITRONIC TOWER CRANE,Randy GruebConnolly Eamonn F.James Mchugh Construction Co,"$20,000.00",6/21/2016,2016,6,21,311 W Illinois St,41.8906480,-87.6360600,"42 (ward)NEAR NORTH SIDE (communityarea)River North (neighborhood)60654 (zip)North (township)District 18, Beat 1831 (chipolicebeat)District 18 - Near North (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Sonya M. Harper (6th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Wells Hs (HS) (cpsattendance)",100651209,2016
"TIED-IN POTAIN MD485D TOWER CRANE -PHASES 2, 3 & 4 - SOUTH CRANE",Jim ClementiConnolly Eamonn F.James Mchugh Construction Co,"$20,000.00",6/15/2016,2016,6,15,1201 N La Salle Dr,41.9039740,-87.6327760,"2 (ward)NEAR NORTH SIDE (communityarea)Old Town (neighborhood)60610 (zip)North (township)District 18, Beat 1821 (chipolicebeat)District 18 - Near North (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Ogden (ES) (cpsattendance)",100653082,2016
"PHASE 1 FOUNDATION DESIGN FOR THE INSTALLATION AND OPERATION OF A LIEBHERR 420 EC-H 16 TEMPORARY TOWER CRANE, AS PER PLANS. ** Tower Crane to be used for foundation erection only**","Pat SiseKohout ChristopherWalsh Construction Company Ii,Walsh Construction Company","$60,000.00",6/7/2016,2016,6,7,801 S Financial Pl,41.8721020,-87.6327970,"25 (ward)LOOP (communityarea)South Loop (neighborhood)60607 (zip)River South (tif)South (township)District 01, Beat 0123 (chipolicebeat)District 1 - Central (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Sonya M. Harper (6th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Phillips Hs (HS) (cpsattendance)",100636102,2016
"PHASE 2, TIE-IN AND CLIMB SCHEDULE OF A TEMPORARY TOWER CRANE: TEREX PEINER SK-315 AS PER PLANS.","Alan Alani Wirtz Realty Corp.Kohout ChristopherPower Construction Company, LlCeco Concrete Construction Llc","$60,000.00",6/3/2016,2016,6,3,2950 N Sheridan Rd,41.9358080,-87.6395520,"44 (ward)LAKE VIEW (communityarea)Lake View East (neighborhood)60657 (zip)Lakeview Historic District (nationalregister)Lake View (township)District 19, Beat 1934 (chipolicebeat)District 19 - Town Hall (chipolicedistrict)10 (cookcountydistrict)Sara Feigenholtz (12th) (illinoishouse)John J. Cullerton (6th) (illinoissenate)Lake View Hs (HS) (cpsattendance)",100640409,2016
"PHASE 1 FOUNDATION AND INSTALLATION PERMIT FOR TEMPORARY TOWER CRANE: LIEBHERR 316 EC-H 12 LITRONIC, AS PER PLANS.","Jeff Lange Ca Ventures, LlcKohout ChristopherClark Construction Group ChicaConcrete Structures Of The","$60,000.00",5/24/2016,2016,5,24,8 E Huron St,41.8949900,-87.6278290,"42 (ward)NEAR NORTH SIDE (communityarea)Near North (neighborhood)60611 (zip)North (township)District 18, Beat 1834 (chipolicebeat)District 18 - Near North (chipolicedistrict)12 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Wells Hs (HS) (cpsattendance)",100640842,2016
TOWER CRANE INSTALLATION AT PLAZA FOR PROPOSED 1-STORY RETAIL ADDITION.,"Kurt ChristopherBurnham Nationwide, Inc.Power Construction Company, LlPower Construction Co. Pete Huey","$50,000.00",5/23/2016,2016,5,23,401 N Michigan Ave,41.8893540,-87.6241020,"42 (ward)NEAR NORTH SIDE (communityarea)Magnificent Mile (neighborhood)60611 (zip)Michigan Wacker Historic District (nationalregister)North (township)District 18, Beat 1834 (chipolicebeat)District 18 - Near North (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Streeterville Organization of Active Residents (SOAR) (neighborhoodorganization)Christian L. Mitchell (26th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100636843,2016
"PHASE 2: TIE-IN AND CLIMB SCHEDULE FOR TEREX PEINER SK-415 TEMPORARY TOWER CRANE, AS PER PLANS.","Mpea, John NicollsKohout ChristopherClark Construction Group ChicaConcrete Structures Of The","$60,000.00",5/18/2016,2016,5,18,2121 S Prairie Ave,41.8536500,-87.6205330,"3 (ward)NEAR SOUTH SIDE (communityarea)South Loop (neighborhood)60616 (zip)Calumet/Cermak Rd (tif)South (township)District 01, Beat 0132 (chipolicebeat)District 1 - Central (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Phillips Hs (HS) (cpsattendance)",100637786,2016
"FOUNDATION PERMIT FOR THE INSTALLATION AND OPERATION OF THE PEINER SK415 TEMPORARY TOWER CRANE, AS PER PLANS.",Todd MullenKohout ChristopherNovak Construction CompanyR. Olson Const. Co.,"$60,000.00",5/10/2016,2016,5,10,171 N Aberdeen St,41.8851440,-87.6543150,"27 (ward)NEAR WEST SIDE (communityarea)West Town (neighborhood)60607 (zip)Kinzie Industrial Corridor (tif)Enterprise Zone 4 (enterprisezone)West (township)District 12, Beat 1224 (chipolicebeat)District 12 - Near West (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Neighbors of West Loop (neighborhoodorganization)Arthur Turner (9th) (illinoishouse)Patricia Van Pelt (5th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100635854,2016
INSTALL FREE STANDING LIEBHERR 316 EC-H 12 LITRONIC TOWER CRANE,Daniel HoltConnolly Eamonn F.James Mchugh Construction Co,"$20,000.00",5/10/2016,2016,5,10,822 N Clark St,41.8973600,-87.6314090,"2 (ward)NEAR NORTH SIDE (communityarea)Near North (neighborhood)60610 (zip)North (township)District 18, Beat 1832 (chipolicebeat)District 18 - Near North (chipolicedistrict)12 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Wells Hs (HS) (cpsattendance)",100646408,2016
"PHASE 2: TIE-IN AND CLIMB SCHEDULE FOR A PEINER SK-415 TEMPORARY TOWER CRANE, AS PER PLANS.",Onni Group Casey MarsicoKohout ChristopherOnni Contracting (Chicago) IncConcrete Structures Of The,"$60,000.00",5/5/2016,2016,5,5,750 N Hudson Ave,41.8963150,-87.6401910,"42 (ward)NEAR NORTH SIDE (communityarea)River North (neighborhood)60654 (zip)Chicago/Kingsbury (tif)Enterprise Zone 4 (enterprisezone)North (township)District 18, Beat 1831 (chipolicebeat)District 18 - Near North (chipolicedistrict)12 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Sonya M. Harper (6th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Wells Hs (HS) (cpsattendance)",100637787,2016
