PERMIT#,STREET_NUMBER,STREET DIRECTION,STREET_NAME,SUFFIX,ADDRESS
100145795,900,S,CLARK,ST,900 S CLARK ST
100147814,1400,S,MICHIGAN,AVE,1400 S MICHIGAN AVE
100147819,505,N,MCCLURG,CT,505 N MCCLURG CT
100147822,1,W,RANDOLPH,ST,1 W RANDOLPH ST
100147826,1,W,RANDOLPH,ST,1 W RANDOLPH ST
100151177,353,N,DESPLAINES,ST,353 N DESPLAINES ST
100151181,22,W,WASHINGTON,ST,22 W WASHINGTON ST
100151919,1,E,8TH,ST,1 E 8TH ST
100153453,2138,S,INDIANA,AVE,2138 S INDIANA AVE
100154337,11601,W,TOUHY,AVE,11601 W TOUHY AVE
100155065,353,N,CLARK,ST,353 N CLARK ST
100160009,123,S,GREEN,ST,123 S GREEN ST
100161916,1629,S,PRAIRIE,AVE,1629 S PRAIRIE AVE
100162384,2138,S,INDIANA,AVE,2138 S INDIANA AVE
100162878,60,E,MONROE,ST,60 E MONROE ST
100163846,730,S,CLARK,ST,730 S CLARK ST
100164850,1134,W,GRANVILLE,AVE,1134 W GRANVILLE AVE
100166544,225,N,COLUMBUS,DR,225 N COLUMBUS DR
100166547,300,N,LA SALLE,ST,300 N LA SALLE ST
100166551,642,S,CLARK,ST,642 S CLARK ST
100169480,757,N,ORLEANS,ST,757 N ORLEANS ST
100169486,353,N,DESPLAINES,ST,353 N DESPLAINES ST
100169491,2,W,ERIE,ST,2 W ERIE ST
100170101,111,W,ILLINOIS,ST,111 W ILLINOIS ST
100170095,225,N,COLUMBUS,DR,225 N COLUMBUS DR
100170107,1,W,RANDOLPH,ST,1 W RANDOLPH ST
100172426,1134,W,GRANVILLE,AVE,1134 W GRANVILLE AVE
100172431,8,E,9TH,ST,8 E 9TH ST
100174808,201,N,STATE,ST,201 N STATE ST
100174815,300,N,LA SALLE,ST,300 N LA SALLE ST
100174821,24,S,MORGAN,ST,24 S MORGAN ST
100174825,110,W,SUPERIOR,ST,110 W SUPERIOR ST
100176724,127,W,HURON,ST,127 W HURON ST
100176737,300,N,LA SALLE,ST,300 N LA SALLE ST
100185069,2,W,ERIE,ST,2 W ERIE ST
100185071,670,W,WAYMAN,ST,670 W WAYMAN ST
100185074,50,E,16TH,ST,50 E 16TH ST
100185365,300,E,RANDOLPH,ST,300 E RANDOLPH ST
100185842,353,N,CLARK,ST,353 N CLARK ST
100186105,17,N,WABASH,AVE,17 N WABASH AVE
100187206,300,E,RANDOLPH,ST,300 E RANDOLPH ST
100187211,300,E,RANDOLPH,ST,300 E RANDOLPH ST
100190281,8,E,9TH,ST,8 E 9TH ST
100190284,303,W,OHIO,ST,303 W OHIO ST
100190484,910,W,HURON,ST,910 W HURON ST
100190485,757,N,ORLEANS,ST,757 N ORLEANS ST
100193246,659,W,RANDOLPH,ST,659 W RANDOLPH ST
100193248,860,W,BLACKHAWK,ST,860 W BLACKHAWK ST
100193252,225,N,COLUMBUS,DR,225 N COLUMBUS DR
100194541,150,W,ROOSEVELT,RD,150 W ROOSEVELT RD
100194556,150,W,ROOSEVELT,RD,150 W ROOSEVELT RD
100194558,150,W,ROOSEVELT,RD,150 W ROOSEVELT RD
100194637,1015,S,CENTRAL PARK,AVE,1015 S CENTRAL PARK AVE
100195402,300,E,RANDOLPH,ST,300 E RANDOLPH ST
100195441,355,E,OHIO,ST,355 E OHIO ST
100195453,1400,S,MICHIGAN,AVE,1400 S MICHIGAN AVE
100195466,11,E,WALTON,ST,11 E WALTON ST
100195488,730,S,CLARK,ST,730 S CLARK ST
100195492,353,N,CLARK,ST,353 N CLARK ST
100195498,300,E,RANDOLPH,ST,300 E RANDOLPH ST
100198509,55,E,PEARSON,ST,55 E PEARSON ST
100198513,155,N,WACKER,DR,155 N WACKER DR
100199268,1760,N,KINGSBURY,ST,1760 N KINGSBURY ST
100201157,401,N,WABASH,AVE,401 N WABASH AVE
100201162,1201,S,PRAIRIE,AVE,1201 S PRAIRIE AVE
100201170,15,E,OAK,ST,15 E OAK ST
100206852,111,W,WACKER,DR,111 W WACKER DR
100208421,111,W,WACKER,DR,111 W WACKER DR
100208431,225,N,COLUMBUS,DR,225 N COLUMBUS DR
100208432,2138,S,INDIANA,AVE,2138 S INDIANA AVE
100208433,60,E,MONROE,ST,60 E MONROE ST
100212887,10,E,DELAWARE,PL,10 E DELAWARE PL
100214202,303,W,OHIO,ST,303 W OHIO ST
100216698,235,W,VAN BUREN,ST,235 W VAN BUREN ST
100216699,860,W,BLACKHAWK,ST,860 W BLACKHAWK ST
100218653,505,N,STATE,ST,505 N STATE ST
100218655,10,E,DELAWARE,PL,10 E DELAWARE PL
100219215,1901,S,CALUMET,AVE,1901 S CALUMET AVE
100220568,1327,S,WABASH,AVE,1327 S WABASH AVE
100220574,11,E,WALTON,ST,11 E WALTON ST
100220577,11,E,WALTON,ST,11 E WALTON ST
100221090,300,N,LA SALLE,ST,300 N LA SALLE ST
100222810,365,N,JEFFERSON,ST,365 N JEFFERSON ST
100222813,215,W,WASHINGTON,ST,215 W WASHINGTON ST
100225721,365,N,JEFFERSON,ST,365 N JEFFERSON ST
100227054,1211,S,PRAIRIE,AVE,1211 S PRAIRIE AVE
100229544,1935,S,WABASH,AVE,1935 S WABASH AVE
100235882,300,E,RANDOLPH,ST,300 E RANDOLPH ST
100239575,505,N,STATE,ST,505 N STATE ST
100239578,235,W,VAN BUREN,ST,235 W VAN BUREN ST
100239585,555,W,KINZIE,ST,555 W KINZIE ST
100241223,1901,S,CALUMET,AVE,1901 S CALUMET AVE
100242945,300,E,RANDOLPH,ST,300 E RANDOLPH ST
100245398,1201,S,PRAIRIE,AVE,1201 S PRAIRIE AVE
100246152,2,W,DELAWARE,PL,2 W DELAWARE PL
100246323,1935,S,WABASH,AVE,1935 S WABASH AVE
100247412,1620,W,HARRISON,ST,1620 W HARRISON ST
100247442,353,N,CLARK,ST,353 N CLARK ST
100247444,8,E,9TH,ST,8 E 9TH ST
100249426,300,E,RANDOLPH,ST,300 E RANDOLPH ST
100249479,1026,W,MONTROSE,AVE,1026 W MONTROSE AVE
100250297,11,E,WALTON,ST,11 E WALTON ST
100250301,11,E,WALTON,ST,11 E WALTON ST
100252064,401,N,WABASH,AVE,401 N WABASH AVE
100256076,1620,W,HARRISON,ST,1620 W HARRISON ST
100256322,676,N,ST CLAIR,ST,676 N ST CLAIR ST
100256325,155,N,WACKER,DR,155 N WACKER DR
100256384,300,E,RANDOLPH,ST,300 E RANDOLPH ST
100256850,401,N,WABASH,AVE,401 N WABASH AVE
100256853,161,W,KINZIE,ST,161 W KINZIE ST
100258409,222,W,ERIE,ST,222 W ERIE ST
100258413,225,E,CHICAGO,AVE,225 E CHICAGO AVE
100258417,225,E,CHICAGO,AVE,225 E CHICAGO AVE
100262001,2,W,DELAWARE,PL,2 W DELAWARE PL
100262489,353,N,CLARK,ST,353 N CLARK ST
100264482,210,N,WELLS,ST,210 N WELLS ST
100267451,300,E,RANDOLPH,ST,300 E RANDOLPH ST
100270056,111,W,WACKER,DR,111 W WACKER DR
100270058,215,W,WASHINGTON,ST,215 W WASHINGTON ST
100270059,161,W,KINZIE,ST,161 W KINZIE ST
100271511,300,E,RANDOLPH,ST,300 E RANDOLPH ST
100271607,2,W,DELAWARE,PL,2 W DELAWARE PL
100272129,1620,W,HARRISON,ST,1620 W HARRISON ST
100273194,210,N,WELLS,ST,210 N WELLS ST
100274539,225,N,COLUMBUS,DR,225 N COLUMBUS DR
100275209,555,W,KINZIE,ST,555 W KINZIE ST
100275210,210,N,WELLS,ST,210 N WELLS ST
100276430,469,W,HURON,ST,469 W HURON ST
100277878,5950,N,WESTERN,AVE,5950 N WESTERN AVE
100277974,225,E,CHICAGO,AVE,225 E CHICAGO AVE
100277975,225,E,CHICAGO,AVE,225 E CHICAGO AVE
100278418,4455,N,RACINE,AVE,4455 N RACINE AVE
100280593,225,E,CHICAGO,AVE,225 E CHICAGO AVE
100282872,215,W,WASHINGTON,ST,215 W WASHINGTON ST
100284684,1620,W,HARRISON,ST,1620 W HARRISON ST
100284690,1620,W,HARRISON,ST,1620 W HARRISON ST
100286526,5429,N,NEENAH,AVE,5429 N NEENAH AVE
100286749,225,E,CHICAGO,AVE,225 E CHICAGO AVE
100289242,225,E,CHICAGO,AVE,225 E CHICAGO AVE
100292245,5140,W,FOSTER,AVE,5140 W FOSTER AVE
100293003,225,E,CHICAGO,AVE,225 E CHICAGO AVE
100294021,1350,W,FULLERTON,AVE,1350 W FULLERTON AVE
100300082,215,W,WASHINGTON,ST,215 W WASHINGTON ST
100301793,5700,S,MARYLAND,AVE,5700 S MARYLAND AVE
100310513,5700,S,MARYLAND,AVE,5700 S MARYLAND AVE
100314713,5700,S,MARYLAND,AVE,5700 S MARYLAND AVE
100314718,5700,S,MARYLAND,AVE,5700 S MARYLAND AVE
100314809,118,E,ERIE,ST,118 E ERIE ST
100318256,5774,N,CALDWELL,AVE,5774 N CALDWELL AVE
100324415,2550,N,LAKEVIEW,AVE,2550 N LAKEVIEW AVE
100324416,2550,N,LAKEVIEW,AVE,2550 N LAKEVIEW AVE
100326945,7300,S,KEDZIE,AVE,7300 S KEDZIE AVE
100327250,118,E,ERIE,ST,118 E ERIE ST
100332093,225,E,CHICAGO,AVE,225 E CHICAGO AVE
100336915,333,E,BENTON,PL,333 E BENTON PL
100337466,5431,N,EAST RIVER,RD,5431 N EAST RIVER RD
100346688,425,S,WABASH,AVE,425 S WABASH AVE
100347474,425,S,WABASH,AVE,425 S WABASH AVE
100356652,2550,N,LAKEVIEW,AVE,2550 N LAKEVIEW AVE
100359859,2550,N,LAKEVIEW,AVE,2550 N LAKEVIEW AVE
100369115,2750,S,CALIFORNIA,AVE,2750 S CALIFORNIA AVE
100370258,2550,N,LAKEVIEW,AVE,2550 N LAKEVIEW AVE
100371017,2550,N,LAKEVIEW,AVE,2550 N LAKEVIEW AVE
100372951,441,E,ONTARIO,ST,441 E ONTARIO ST
100376023,929,W,FOSTER,AVE,929 W FOSTER AVE
100378290,5215,N,CALIFORNIA,AVE,5215 N CALIFORNIA AVE
100379773,800,W,NORTH,AVE,800 W NORTH AVE
100380658,441,E,ONTARIO,ST,441 E ONTARIO ST
100380668,840,W,BLACKHAWK,ST,840 W BLACKHAWK ST
100382551,211,E,GRAND,AVE,211 E GRAND AVE
100388985,2245,W,JACKSON,BLVD,2245 W JACKSON BLVD
100389421,929,W,FOSTER,AVE,929 W FOSTER AVE
100390750,5215,N,CALIFORNIA,AVE,5215 N CALIFORNIA AVE
100392795,1233,N,WELLS,ST,1233 N WELLS ST
100394260,1301,N,STATE,PKWY,1301 N STATE PKWY
100398186,211,E,GRAND,AVE,211 E GRAND AVE
100401386,2245,W,JACKSON,BLVD,2245 W JACKSON BLVD
100402040,840,W,BLACKHAWK,ST,840 W BLACKHAWK ST
100404098,345,E,WACKER,DR,345 E WACKER DR
100404108,71,W,HUBBARD,ST,71 W HUBBARD ST
100406267,365,N,HALSTED,ST,365 N HALSTED ST
100407495,200,E,ILLINOIS,ST,200 E ILLINOIS ST
100409128,111,W,WACKER,DR,111 W WACKER DR
100411379,516,N,LAKE SHORE,DR,516 N LAKE SHORE DR
100418395,5235,S,HARPER,AVE,5235 S HARPER AVE
100419010,515,N,CLARK,ST,515 N CLARK ST
100421096,700,S,STATE,ST,700 S STATE ST
100421975,2233,S,DR MARTIN L KING JR,DR,2233 S DR MARTIN L KING JR DR
100422704,2233,S,DR MARTIN L KING JR,DR,2233 S DR MARTIN L KING JR DR
100422947,600,N,MICHIGAN,AVE,600 N MICHIGAN AVE
100424139,515,N,CLARK,ST,515 N CLARK ST
100425903,345,E,WACKER,DR,345 E WACKER DR
100427666,360,W,HUBBARD,ST,360 W HUBBARD ST
100428488,516,N,LAKE SHORE,DR,516 N LAKE SHORE DR
100432665,2233,S,DR MARTIN L KING JR,DR,2233 S DR MARTIN L KING JR DR
100432667,2233,S,DR MARTIN L KING JR,DR,2233 S DR MARTIN L KING JR DR
100436029,71,W,HUBBARD,ST,71 W HUBBARD ST
100439027,365,N,HALSTED,ST,365 N HALSTED ST
100440042,259,E,ERIE,ST,259 E ERIE ST
100440047,259,E,ERIE,ST,259 E ERIE ST
100443671,71,W,HUBBARD,ST,71 W HUBBARD ST
100444601,2245,W,JACKSON,BLVD,2245 W JACKSON BLVD
100444704,73,E,LAKE,ST,73 E LAKE ST
100445121,2245,W,JACKSON,BLVD,2245 W JACKSON BLVD
100448238,3820,W,74TH,ST,3820 W 74TH ST
100449572,825,S,WABASH,AVE,825 S WABASH AVE
100450235,360,W,HUBBARD,ST,360 W HUBBARD ST
100452927,200,E,ILLINOIS,ST,200 E ILLINOIS ST
100458512,829,S,WABASH,AVE,829 S WABASH AVE
100458608,829,S,WABASH,AVE,829 S WABASH AVE
100461759,200,E,ILLINOIS,ST,200 E ILLINOIS ST
100463078,5640,S,ELLIS,AVE,5640 S ELLIS AVE
100463602,1611,W,DIVISION,ST,1611 W DIVISION ST
100466800,73,E,LAKE,ST,73 E LAKE ST
100467160,3740,N,HALSTED,ST,3740 N HALSTED ST
100471492,111,W,WACKER,DR,111 W WACKER DR
100474639,455,N,PARK,DR,455 N PARK DR
100475800,111,W,WACKER,DR,111 W WACKER DR
100475986,259,E,ERIE,ST,259 E ERIE ST
100475987,259,E,ERIE,ST,259 E ERIE ST
100481480,73,E,LAKE,ST,73 E LAKE ST
100482403,123,N,DESPLAINES,ST,123 N DESPLAINES ST
100484234,111,W,POLK,ST,111 W POLK ST
100487531,73,E,LAKE,ST,73 E LAKE ST
100489939,111,W,WACKER,DR,111 W WACKER DR
100490953,123,N,DESPLAINES,ST,123 N DESPLAINES ST
100491563,350,E,SOUTH WATER,ST,350 E SOUTH WATER ST
100491570,220,W,ILLINOIS,ST,220 W ILLINOIS ST
100492175,455,N,PARK,DR,455 N PARK DR
100493582,259,E,ERIE,ST,259 E ERIE ST
100496879,123,N,DESPLAINES,ST,123 N DESPLAINES ST
100497581,113,N,GREEN,ST,113 N GREEN ST
100497931,1164,W,MADISON,ST,1164 W MADISON ST
100500020,350,E,SOUTH WATER,ST,350 E SOUTH WATER ST
100501273,765,W,ADAMS,ST,765 W ADAMS ST
100502083,355,E,ERIE,ST,355 E ERIE ST
100502087,355,E,ERIE,ST,355 E ERIE ST
100506816,1220,W,LAKE,ST,1220 W LAKE ST
100508084,350,E,SOUTH WATER,ST,350 E SOUTH WATER ST
100508089,331,W,SURF,ST,331 W SURF ST
100508232,2245,W,JACKSON,BLVD,2245 W JACKSON BLVD
100510590,5656,S,MARYLAND,AVE,5656 S MARYLAND AVE
100510595,5656,S,MARYLAND,AVE,5656 S MARYLAND AVE
100512620,845,N,STATE,ST,845 N STATE ST
100514154,1000,W,FULTON MARKET,,1000 W FULTON MARKET 
100514335,805,N,LA SALLE,DR,805 N LA SALLE DR
100520843,16,E,PEARSON,ST,16 E PEARSON ST
100521704,1457,N,HALSTED,ST,1457 N HALSTED ST
100521713,1362,E,59TH,ST,1362 E 59TH ST
100522699,601,W,JACKSON,BLVD,601 W JACKSON BLVD
100524538,765,W,ADAMS,ST,765 W ADAMS ST
100524593,28,N,FRANKLIN,ST,28 N FRANKLIN ST
100527221,331,W,SURF,ST,331 W SURF ST
100531161,326,N,ORLEANS,ST,326 N ORLEANS ST
100531818,220,W,ILLINOIS,ST,220 W ILLINOIS ST
100532325,1820,W,JACKSON,BLVD,1820 W JACKSON BLVD
100533743,355,E,ERIE,ST,355 E ERIE ST
100533747,355,E,ERIE,ST,355 E ERIE ST
100534419,328,S,JEFFERSON,ST,328 S JEFFERSON ST
100536308,326,N,ORLEANS,ST,326 N ORLEANS ST
100536547,1333,S,WABASH,AVE,1333 S WABASH AVE
100543474,845,N,STATE,ST,845 N STATE ST
100543714,7331,N,SHERIDAN,RD,7331 N SHERIDAN RD
100543717,11,S,GREEN,ST,11 S GREEN ST
100544143,1000,S,CLARK,ST,1000 S CLARK ST
100548236,66,E,WACKER,PL,66 E WACKER PL
100548241,625,W,DIVISION,ST,625 W DIVISION ST
100548390,1457,N,HALSTED,ST,1457 N HALSTED ST
100552280,845,N,STATE,ST,845 N STATE ST
100553092,707,N,WELLS,ST,707 N WELLS ST
100553105,545,N,MCCLURG,CT,545 N MCCLURG CT
100557737,201,N,GARLAND,CT,201 N GARLAND CT
100559418,805,N,LA SALLE,DR,805 N LA SALLE DR
100560055,4,E,ELM,ST,4 E ELM ST
100560597,25,W,RANDOLPH,ST,25 W RANDOLPH ST
100561114,220,E,ILLINOIS,ST,220 E ILLINOIS ST
100564787,355,E,ERIE,ST,355 E ERIE ST
100566432,5500,S,UNIVERSITY,AVE,5500 S UNIVERSITY AVE
100566434,5500,S,UNIVERSITY,AVE,5500 S UNIVERSITY AVE
100567445,360,N,MICHIGAN,AVE,360 N MICHIGAN AVE
100571213,845,N,STATE,ST,845 N STATE ST
100571832,326,N,ORLEANS,ST,326 N ORLEANS ST
100575230,730,W,COUCH,PL,730 W COUCH PL
100577428,25,W,RANDOLPH,ST,25 W RANDOLPH ST
100578749,504,N,GREEN,ST,504 N GREEN ST
100579023,347,W,CHESTNUT,ST,347 W CHESTNUT ST
100581164,201,N,GARLAND,CT,201 N GARLAND CT
100582205,360,N,MICHIGAN,AVE,360 N MICHIGAN AVE
100582206,1000,S,CLARK,ST,1000 S CLARK ST
100585849,118,N,JEFFERSON,ST,118 N JEFFERSON ST
100585856,220,E,ILLINOIS,ST,220 E ILLINOIS ST
100593285,347,W,CHESTNUT,ST,347 W CHESTNUT ST
100593920,1330,E,53RD,ST,1330 E 53RD ST
100593985,545,N,MCCLURG,CT,545 N MCCLURG CT
100598638,1330,E,53RD,ST,1330 E 53RD ST
